"simfile","bf_mean","bf_sd","bf10_mean","bf10_sd","bf_a3"
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_12_10.json",1.0138620713169e+22,2.11422812664392e+24,11.6576245236763,7.79263615023627,95.633
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_12_15.json",5.26175896816681e+36,1.19024407759829e+39,18.3468736422604,11.1866228548639,98.144
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_12_20.json",7.81932565463269e+46,2.19152880574573e+49,25.0920455869483,14.5619379032468,99.03
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_18_10.json",2.66406126243493e+27,7.80642788746769e+29,17.6379102819532,9.2774801287207,99.319
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_18_15.json",1.65057959353529e+44,4.91219037393482e+46,27.4057368843912,13.2828152300902,99.787
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_18_20.json",5.84154895215269e+56,1.82827911375979e+59,37.3922688334093,17.4551731549516,99.933
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_24_10.json",6.30136838329068e+33,1.38418426839642e+36,23.7620312344784,10.5372646287053,99.91
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_24_15.json",3.53397022368971e+51,1.10064814721284e+54,36.6693567191039,15.1356352298351,99.99
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_24_20.json",9.27409250705705e+65,2.14413549839936e+68,49.6568980572105,19.6845164738619,99.997
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_12_10.json",1.78773871504283e+31,5.39567680732744e+33,12.8574324646484,9.40088213234166,94.5
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_12_15.json",1.63700317152607e+41,4.8283063415737e+43,20.2506621954642,13.6888756922197,97.44
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_12_20.json",1.11550964049234e+61,3.49987397883616e+63,27.7027106929395,17.9794070669541,98.631
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_18_10.json",4.09098698540823e+40,1.28833448688537e+43,20.6829641151086,13.4451522515241,98.446
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_18_15.json",5.06986493243589e+60,1.59132847344608e+63,32.0251890269038,19.793462959089,99.374
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_18_20.json",3.00579062856302e+81,9.49651123512207e+83,43.5628325559136,25.982523695597,99.748
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_24_10.json",2.39055565144131e+50,7.54147776550968e+52,30.768417524928,17.2896911175719,99.706
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_24_15.json",1.50659211296306e+69,4.7457369538674e+71,47.2255923264289,25.4751523134341,99.919
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_24_20.json",1.4316620844185e+93,3.4618889029137e+95,64.1255629130699,33.7683386885376,99.971
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_emo.json",1054973.46027606,170184408.706513,4.16599288731238,2.95821151445858,85.879
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_12_10.json",1.18667142647422e+23,1.88119912753293e+25,11.4466412041791,7.83202156872341,95.125
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_12_15.json",1.13763957825791e+36,2.44121745776207e+38,18.1109415133441,11.3059320998122,97.917
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_12_20.json",1.72363576031322e+50,4.30884803880998e+52,24.7399864461886,14.7429871023564,98.81
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_18_10.json",9.20019599981893e+35,2.90935566576614e+38,17.3533710648317,9.3080808734643,99.135
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_18_15.json",2.48071755950875e+43,7.05320595762441e+45,27.1165765249359,13.4540938150285,99.804
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_18_20.json",1.50560485114665e+56,4.53940378113325e+58,36.8482724427377,17.5946403234886,99.905
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_24_10.json",1.43034005956653e+35,4.29235407282238e+37,23.3377143703438,10.5377600649052,99.919
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_24_15.json",1.40974404406095e+55,4.45770014519662e+57,36.0456310860862,15.1130146934618,99.985
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_24_20.json",1.66517020994224e+75,5.26573049914604e+77,48.7943830278029,19.7532978613026,99.995
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_12_10.json",6.44402826232588e+21,2.03540843212268e+24,11.5343556806542,6.50691438064577,98.139
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_12_15.json",1.18579263170429e+29,2.38314881217894e+31,18.1939069579462,9.20323128510395,99.555
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_12_20.json",1.07661834287747e+38,3.39955437428102e+40,24.9864865111873,11.8716568796238,99.827
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_18_10.json",6.02345563637599e+21,1.86838291169071e+24,17.681474123234,7.41692493479731,99.934
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_18_15.json",4.71671124601413e+36,1.48340444691602e+39,27.5148105220907,10.4208698298003,99.993
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_18_20.json",1.01586269370365e+44,2.47832360135833e+46,37.4537109949261,13.3501823116045,99.999
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_24_10.json",1.46892866468784e+26,3.93377765759469e+28,24.5613651552491,8.2366801016133,100
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_24_15.json",5.49563593705831e+40,1.73690213042778e+43,37.9546037905125,11.5255792027766,100
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_24_20.json",3.4505355803302e+52,8.71827704964744e+54,51.3315244004627,14.6844135034687,100
